name,price
"
          Collapsible Grip & Stand Popsocket for Phones and Tablets black one size",KSh 79
"
          Sandisk 32GB  64GB 128GB Memory Card U1 Class 10 Micro SD Card SDXC SDHC Micro sd Flash TF Card as shown sandisk 32gb 80mb/s",KSh 599
"
          Mini Wireless Bluetooth earphone Blutooth headset Stereo headphones  Earpiece Small Sports Cordless black",KSh 399
"
          Kill Price-Portable Capsule Wireless Stereo HIFI Bluetooth Speaker red one size",KSh 899
"
          Refurbished iPhone6 : iPhone 6 -64GB+1GB -8 MP+1.2 MP- 4.7 Inch+4G network + fingerprint unlock gold （without Fingerprint）","KSh 15,499"
"
          Data Cable High Quality Mobile Phones Accessories Fast Charging For Android HUAWEI SAMSUNG OPPO 1M white micro usb",KSh 149
"
          Churchill Branded USB Flash Disk 8GB Blue Unique Card Flash Drive",KSh 400
"
          Sim Card Tray Ejector Eject Pin Key Removal Tool For iPhone Apple 5 5S Huawei Xiaomi  Infinix Phone silver normal",KSh 99
"
          G2G 1set iPhone and android universal earphone with white line control mic white",KSh 299
"
          GT08 Wearable Smart Watch With Hands-Free Call Phone Clock Push Message For Android Phones silver one size",KSh 899
"
          TECNO CAMON 11, 3GB + 32GB (Dual SIM) Black","KSh 13,599"
"
          Earpiece In-Ear Headphone Headset Wired Stereo With Volume Control,True Copper Ring For IPhone white",KSh 149
"
          Universal 8X Zoom Mobile Telescope Lens Telephoto External Smartphone Camera Lens for phone tablet Black Red",KSh 499
"
          Wireless Bluetooth Stereo Headset Foldable Headphone Earphone for iPhone Samsung Android black+red","KSh 1,499"
"
          Oukitel C10, 5.0"", 8GB + 1GB RAM (Dual SIM) 3G black","KSh 4,420"
"
          TECNO F1, 5.0"", 8GB+1GB (Dual SIM) black","KSh 5,999"
"
          Infinix Hot 7 (X624B), 32GB + 2GB (Dual SIM), 4000 mAh black","KSh 10,999"
"
          4.1 Bluetooth Stereo Headset Phone Bluetooth Sunglasses To Vehicle Smart Glasses black one size",KSh 999
"
          Huawei Y5 Prime 2018, 5.45"", 16GB, 2GB RAM, 13MP Camera, (Dual SIM) gold","KSh 9,150"
"
          Huawei Y9 (2019) - 6.5"" - 64GB - 4GB RAM - 16MP+2MP Dual Camera, 4G (Dual SIM) MIDNIGHT BLACK","KSh 21,050"
"
          OUKITEL K5000, 4+64GB, 5000mAh, 5.7""HD,  18:9 Aspect Ratio, Fingerprint, Smart phone gold","KSh 15,800"
"
          TECNO Pouvoir 2 - 16GB+3GB RAM - 6.0'' HD+ - 8MP+13MP - 4GLTE - 5000mAh - Face ID - Dual SIM midnight black","KSh 12,999"
"
          Certified Refurbished: iPhone 6 -16GB+1GB -8 MP- 4.7 Inch+4G network black （without fingerprint）","KSh 12,999"
"
          2EST 5FT Multi Charger Cable 2Pack  M-Series 3 in 1 Connector USB Universal Charging Cord Adapter sliver 1m",KSh 199
"
          USB Data Cable Universal Android Data Cable black",KSh 149
"
          TECNO F1 - [8GB+1GB RAM] - 5.0 Lowest price, Official authentic, Quality assurance ELEGANT BLACK","KSh 5,999"
"
          TECNO Spark 3, 6.2"", 16GB + 2GB-13MP-Face Unlock (Dual SIM) Aqua blue","KSh 9,999"
"
          OUKITEL C8 4G , 2GB+16GB,  5.5HD, 13.0MP+5.0MP, 4G,  Fingerprint, Smart Phones black","KSh 8,549"
"
          HOT 730 Wireless Bluetooth Headset Sports Bluetooth Earphones Headphone as shown",KSh 799
"
          AX-02 Comfortable Wireless Bluetooth V4.1 Running Noise Reduction Earphone black&red",KSh 599
"
          OUKITEL K5, 2+16GB, 4000mAh, 18:9 Full Screen 2.0,  8MP+2MP, 5.7"" Full Display, Smart phone black","KSh 9,999"
"
          Smart Watches U8 Sport  Pedometer Handsfree Bluetooth Smartwatch Wristband for Android Phone black one size",KSh 999
"
          QKZ KD7 Headphones Universal Earbuds Sports Magic Sound Subwoofer Double Moving In-Ear Headphones White",KSh 530
"
          TECNO Pouvoir 2 4GLTE, 6.0'', 3GB + 16GB (Dual SIM) gold","KSh 12,999"
"
          K8 Smart Bracelet Blood Pressure Fitness Tracker Pulse Meter Heart Rate Sleep monitor black one size","KSh 2,899"
"
          Oukitel U18, 4+64GB, 5.85"", 16+5/13MP, Face ID, 4000mAh, Android 7.0，Smartphone gold","KSh 15,699"
"
          Smartphone Fast  Charging Cable USB Sync Transfer Data Cable Line for Android Infinix HUAWEI Samsung black",KSh 237
"
          Professional Magnetic Design 3D Stereo Surround Sound Earphones For phone rose gold",KSh 399
"
          2in1 portable telescopic data line  Apple Android universal interface white",KSh 299
"
          Newest Bluetooth Smart Watch Relogio Android Smartwatch Phone Call Camera SIM White Y1","KSh 1,049"
"
          Wearable Smart Watch DZ09 SIM/TF Bluetooth Pedometer Multifunction Digital WristWatch for Android Silver Normal","KSh 1,299"
"
          TECNO POP 2 Power-16GB+1GB RAM-5.5 inch-8PM+5PM champagne gold","KSh 7,399"
"
          TECNO POP2 -5.5''- 8GB+1GB RAM- 8MP+5MP -(Dualsim) -Black black","KSh 6,699"
"
          TECNO POP 2-8GB+1GB RAM-5.5 inch FULLVIEW-8MP-Touchscreen midnight black","KSh 6,599"
"
          Stereo Sport Earphones with Ear Hook MIC Volume Control Running Headphone black",KSh 399
"
          Infinix HOT 6 (X606D) - 6"" - 16GB - 1GB - 13+8MP Dual Camera - 3G - Black black","KSh 10,359"
"
          M26 Bluetooth Smart Watch wristwatch smartwatch SMS Remind Music Player Pedometer for Smartphone white one size",KSh 999
"
          TECNO Spark 2, 16GB + 2GB (Dual SIM) red","KSh 11,589"
"
          unilateral Hanging ear test Business wireless stereo Bluetooth headset call car Mobile phone General black","KSh 1,599"
"
          QKZ KD3 In-ear HIFI Headset Mobile Music Line Control Karaoke Headset Silver",KSh 650
"
          Infinix HOT 7 - 16GB - 1GB, 6.2"", 13MP, 4000mAh, Dual SIM gold","KSh 9,395"
"
          TECNO CAMON 11 - 32 GB + 3GB RAM-6.2'' HD+ Super FULLVIEW-13MP+ 2MP-Face ID black","KSh 13,599"
"
          Window Flip PU Leather Phone Case Cover for Infinix HOT4 & HOT4 Lite 5.5inch Case Cover Protector Gold Normal",KSh 899
"
          Y1 Round Screen Smart Watch Adults Wearable Devices Support SIM Card Bluetooth white 43*12.5mm white 43*12.5mm","KSh 1,099"
"
          For Samsung HTC  INFINIX DOOGEE CUBOT Huawei Phone 3 Pin Wall Charger Adapter 5V 2A  USB Charger Black 5V 2A",KSh 599
"
          Wearing style  Bluetooth headset Foldable wireless stereo Mini movement headset new white and blue","KSh 1,899"
"
          Tempered Glass Screen Protector Protective Film For INFINIX X557 HOT4 & HOT4 Lite - 5.5 Inch HD Transparent 5.5 Inch",KSh 450
"
          HUAWEI P30 LITE 4GB+ 128GB Midnight black","KSh 28,999"
"
          LEAGOO P1 PRO, 5.0"" Screen, 8MP + 2MP, 2GB RAM + 16 GB ROM, 4000MAh, Smartphone elegance black","KSh 8,000"
"
          BLU DASH 4.0 SMARTPHONE, 4GB ROM, DUO CORE 1.3GHZ Orange","KSh 4,999"
"
          TESLA 9.1 LITE Metal SMARTPHONE 3+32GB-13MP, 8MP-4G Dual SIM-USBC Quick Charge Fingerprint Detection Grey","KSh 17,800"
"
          Bluetooth Smart Band Heart Rate Monitor USB Rechargeable Watch Sports Records dark blue 54.3*15.5*10.2mm","KSh 1,259"
"
          PURIDEA 4000mAh MTB Multifunctional Mountain Bicycle LED light Bluetooth Speaker Power Bank Blue 4000mah","KSh 3,500"
"
          Nokia 6.1 pro – 5.5” - 64 GB ROM – 4GB RAM – 16MP Camera – Dual SIM – Matte Black black","KSh 27,499"
"
          1 PCS 60"" 1.5M Sewing Tailor Retractable  Ruler Tape Measure DEFAULT 1.5M","KSh 1,176"
"
          LEAGOO KIICAA MIX,   5.5"" Screen, 32GB ROM + 3GBRAM, OV 13MP + 2MP Dual Rear Cameras, Smartphone Elegance Black","KSh 15,500"
"
          V6 Smart Watch Camera Anti Lost Monitor SOS Waterproof Kids Watch blue 87*87mm","KSh 1,754"
